team,fall_reg1,fall_reg2,fall_reg3,fall_maj,win_reg1,win_reg2,win_reg3,win_maj,spr_reg1,spr_reg2,spr_reg3,spr_maj
Moist Esports,110,70,150,0,351,300,351,600,350,250,401,801
Team BDS,250,200,200,601,260,351,110,320,401,401,350,160
Endpoint CeX,301,110,301,300,220,110,300,220,130,210,300,160
Dignitas,200,301,200,300,300,190,260,220,130,130,210,0
Karmine Corp,200,40,150,0,160,110,160,0,210,300,180,500
SMPR Esports,150,150,250,400,110,110,110,0,180,180,130,0
Evil Geniuses,150,110,150,0,110,260,220,320,80,130,210,0
Team Vitality,40,250,150,140,190,60,60,0,250,130,130,0
Luminosity Gaming,40,150,70,0,110,160,190,0,130,180,180,0
Misfits Gaming,150,200,40,0,110,220,60,0,210,80,80,0
Team Liquid,0,0,0,0,0,0,0,0,180,350,250,360
00 Nation DNB,110,150,70,0,60,160,190,0,0,80,0,0
Guild Esports,70,0,0,0,0,190,160,0,0,210,130,0
Williams Resolve,150,70,110,0,190,60,110,0,0,0,0,0
Solary,0,0,0,0,0,0,0,0,300,130,130,0
Natus Vincere,70,40,0,0,60,110,60,0,0,80,0,0
Aogiri,0,0,0,0,0,0,0,0,0,80,80,0
Wolves Esports,0,0,0,0,0,0,0,0,130,0,0,0
BS+COMPETITION,0,0,0,0,0,0,0,0,80,0,0,0
GROS NOOBZ,0,0,0,0,0,0,0,0,0,0,80,0
Juicers,0,0,0,0,0,0,0,0,0,0,80,0
SK Gaming,0,0,0,0,0,0,0,0,80,0,0,0
WYLDE,0,0,0,0,0,0,0,0,80,0,0,0
FC Barcelona,0,110,110,0,-220,0,0,0,0,0,0,0
Vodafone Giants,70,70,70,0,-210,0,0,0,0,0,0,0
Heroic,110,150,40,0,0,0,0,0,0,0,-300,0
Rix.GG,0,0,0,0,60,0,60,0,-120,0,0,0
Stormtroopers,0,0,0,0,0,60,0,0,-60,0,0,0
Team Singularity,0,0,0,0,160,0,0,0,0,0,-160,0
The Bricks,0,0,110,0,60,60,110,0,0,0,-340,0
